Player,Squad,Born,Def 3rd,Mid 3rd,Att 3rd,Blocks,Int,Clr,MP,PrgC,PrgP,Gls,Ast,xG,xAG
Brenden Aaronson,Leeds United,2000,16,22,7,43,5,6,36,43,86,0.04,0.11,0.15,0.16
Paxten Aaronson,Eint Frankfurt,2003,2,2,2,2,0,2,7,8,6,0,0,0.09,0.03
James Abankwah,Udinese,2004,0,1,0,4,0,5,2,0,0,0,0,0,0
George Abbott,Tottenham,2005,0,0,0,0,1,0,1,0,0,0,0,0,0
Yunis Abdelhamid,Reims,1987,47,33,2,65,64,116,37,40,215,0.03,0.05,0.06,0.03
Himad Abdelli,Angers,1999,22,32,10,30,28,15,30,58,151,0.08,0.08,0.06,0.12
Salis Abdul Samed,Lens,2000,18,23,5,38,36,26,33,33,165,0.03,0.03,0.03,0.05
Laurent Abergel,Lorient,1993,59,30,3,47,34,39,29,13,143,0,0.04,0.02,0.05
Oliver Abildgaard,Hellas Verona,1996,6,3,1,7,5,17,13,2,15,0,0,0.02,0.07
Matthis Abline,Auxerre,2003,0,3,1,6,1,1,19,14,8,0.22,0.11,0.4,0.08
Matthis Abline,Rennes,2003,0,0,1,1,2,1,11,4,2,0.84,0,0.65,0.22
Abner,Betis,2000,9,2,1,8,8,24,13,8,16,0,0,0.25,0.02
Zakaria Aboukhlal,Toulouse,2000,13,9,11,18,22,23,37,100,72,0.36,0.18,0.42,0.12
Tammy Abraham,Roma,1997,4,8,5,10,3,14,38,35,54,0.33,0.12,0.45,0.15
Christian Acella,Cremonese,2002,1,0,0,0,0,0,1,0,0,0,0,0,0
Francesco Acerbi,Inter,1988,22,7,4,25,41,85,31,39,100,0,0.07,0.04,0.04
�lvaro Aceves,Valladolid,2003,0,0,0,0,0,0,1,0,0,0,0,0,0
Mohamed Achi,Nantes,2002,1,0,0,0,0,0,2,2,3,0,0,0.3,0.08
Marcos Acu�a,Sevilla,1991,34,17,6,16,23,36,30,49,102,0.14,0.09,0.05,0.2
Che Adams,Southampton,1996,7,8,2,13,4,22,28,17,34,0.23,0.14,0.3,0.13
Tyler Adams,Leeds United,1999,44,35,10,48,35,29,24,19,136,0,0,0,0.06
Sargis Adamyan,Koln,1993,5,3,6,12,4,5,24,12,24,0.14,0.28,0.47,0.11
Tosin Adarabioyo,Fulham,1997,22,6,2,20,26,140,25,16,95,0.04,0,0.03,0.02
Martin Adeline,Reims,2003,2,1,0,3,3,3,5,1,3,0,0,0.06,0
Karim Adeyemi,Dortmund,2002,6,6,4,18,7,3,24,49,47,0.39,0.32,0.33,0.24
Amine Adli,Leverkusen,2000,4,6,8,28,6,7,26,46,49,0.31,0.19,0.31,0.11
Yacine Adli,Milan,2000,2,4,0,2,1,1,6,7,10,0,0,0.05,0.16
Michel Aebischer,Bologna,1997,3,6,3,14,7,9,32,14,46,0.06,0,0.08,0.04
Felix Afena-Gyan,Cremonese,2003,4,1,2,5,1,6,23,22,8,0,0,0.21,0.02
Emmanuel Agbadou,Reims,1997,53,16,2,30,32,107,29,15,131,0,0.11,0.06,0.09
Julen Agirrezabala,Athletic Club,2000,0,0,0,0,0,2,8,0,0,0,0,0,0
Lucien Agoume,Troyes,2002,18,15,9,14,27,24,15,9,93,0,0.08,0.07,0.09
Felix Agu,Werder Bremen,1999,0,1,0,1,0,0,3,0,2,0,0,0.07,0.14
�lvaro Aguado,Valladolid,1996,13,11,3,16,13,15,34,29,139,0.05,0.1,0.05,0.11
Kevin Agudelo,Spezia,1998,22,30,19,39,10,6,34,81,110,0,0.04,0.06,0.13
Nayef Aguerd,West Ham,1996,18,8,1,26,18,79,18,2,25,0.11,0,0.13,0.03
Ruben Aguilar,Monaco,1993,7,7,5,13,18,28,20,29,102,0,0,0.02,0.07
