"Squad","Def 3rd","Mid 3rd","Att 3rd","Blocks","Int","Clr","Age","PrgC","PrgP","Gls","Ast","xG","xAG","Ranking"
Ajaccio,321,236,80,359,420,670,29.1,487,1169,0.58,0.32,0.95,0.6,97
Almeria,292,202,63,435,322,855,26.4,569,1090,1.29,0.87,1.2,0.85,76
Angers,311,268,73,402,375,605,25.7,632,1393,0.82,0.47,1.08,0.74,96
Arsenal,238,212,118,362,237,599,24.7,824,2049,2.21,1.68,1.89,1.41,7
Aston Villa,305,251,77,438,324,714,27,637,1242,1.29,0.92,1.32,1.02,16
Atalanta,291,272,73,455,421,613,27.4,687,1637,1.68,1.11,1.52,1.12,36
Athletic Club,267,254,87,415,310,598,27.4,864,1816,1.21,0.87,1.43,1.02,25
Atletico Madrid,332,245,90,396,304,704,28.5,730,1571,1.79,1.34,1.64,1.28,14
Augsburg,251,202,69,429,286,755,25.9,331,847,1.21,0.85,1.02,0.71,77
Auxerre,337,263,74,441,454,782,27.3,531,1284,0.84,0.45,1.12,0.72,95
Barcelona,211,216,95,353,253,439,25.9,962,2180,1.82,1.47,1.99,1.58,5
Bayern Munich,263,258,102,381,287,477,26.6,863,2041,2.65,1.97,2.2,1.67,2
Betis,373,238,54,411,364,857,28.6,620,1272,1.13,0.68,1.36,0.92,48
Bochum,301,247,78,402,337,776,29.4,350,1022,1.09,0.82,1.18,0.83,78
Bologna,310,255,83,414,302,652,27.4,564,1366,1.37,1.08,1.15,0.83,57
Bournemouth,316,249,53,499,353,1027,26.3,504,1006,0.97,0.63,1.02,0.75,68
Brentford,270,228,89,456,341,822,26.2,392,1131,1.47,0.95,1.49,1.02,19
Brest,348,289,68,435,475,686,26.6,592,1311,1.13,0.74,1.14,0.78,80
Brighton,270,242,104,392,303,432,26.3,809,1849,1.79,1.21,1.93,1.37,11
Cadiz,358,205,60,425,270,853,29.1,476,969,0.76,0.53,1.09,0.73,75
Celta Vigo,319,269,76,393,368,666,26.7,704,1403,1.08,0.82,1.13,0.81,44
Chelsea,363,267,110,466,341,661,26.3,829,1737,0.97,0.71,1.3,1.02,15
Clermont Foot,350,250,85,424,440,571,27.2,532,1304,1.16,0.68,1.25,0.73,63
Cremonese,403,228,73,432,393,771,26.9,521,1107,0.92,0.47,1.02,0.64,98
Crystal Palace,354,246,90,463,359,807,26.7,556,1243,1,0.76,1.03,0.76,29
Dortmund,246,241,93,382,298,491,25.8,783,1628,2.38,1.79,2.09,1.53,10
Eint Frankfurt,244,248,70,415,284,687,26.4,632,1372,1.65,0.97,1.53,1.06,33
Elche,367,212,54,413,323,766,28.3,561,1197,0.79,0.55,0.99,0.71,99
Empoli,316,218,72,449,280,910,26.1,608,1114,0.92,0.53,1.02,0.71,84
Espanyol,330,239,83,416,338,788,27.6,528,1146,1.34,0.82,1.27,0.92,72
Everton,362,257,89,510,390,874,26.6,500,1052,0.84,0.63,1.19,0.85,59
Fiorentina,232,260,89,356,260,473,27.4,789,1627,1.34,0.97,1.45,1.06,26
Freiburg,223,211,64,375,325,612,27.4,427,1039,1.5,1,1.41,0.84,49
Fulham,294,228,101,455,340,749,28.2,662,1326,1.37,0.87,1.22,0.75,43
Getafe,282,199,60,404,320,794,27.4,365,1003,0.89,0.55,0.96,0.59,53
Girona,271,213,67,379,266,662,26,725,1378,1.45,1.08,1.33,0.98,93
Hellas Verona,319,228,58,445,337,745,27.4,503,1063,0.76,0.58,0.94,0.74,94
