"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Brenden Aaronson,Leeds United,2000,43,86,0.04,0.11,0.15,0.15,0.16
Yunis Abdelhamid,Reims,1987,40,215,0.03,0.05,0.08,0.06,0.03
Himad Abdelli,Angers,1999,58,151,0.08,0.08,0.17,0.06,0.12
Salis Abdul Samed,Lens,2000,33,165,0.03,0.03,0.06,0.03,0.05
Matthis Abline,Auxerre,2003,14,8,0.22,0.11,0.33,0.4,0.08
Zakaria Aboukhlal,Toulouse,2000,100,72,0.36,0.18,0.55,0.42,0.12
Tammy Abraham,Roma,1997,35,54,0.33,0.12,0.45,0.45,0.15
Marcos Acu�a,Sevilla,1991,49,102,0.14,0.09,0.24,0.05,0.2
Che Adams,Southampton,1996,17,34,0.23,0.14,0.36,0.3,0.13
Sargis Adamyan,Koln,1993,12,24,0.14,0.28,0.42,0.47,0.11
Karim Adeyemi,Dortmund,2002,49,47,0.39,0.32,0.71,0.33,0.24
Amine Adli,Leverkusen,2000,46,49,0.31,0.19,0.5,0.31,0.11
�lvaro Aguado,Valladolid,1996,29,139,0.05,0.1,0.14,0.05,0.11
Naouirou Ahamada,Stuttgart,2002,43,56,0.13,0.13,0.26,0.05,0.08
Jean-Eudes Aholou,Strasbourg,1994,25,50,0.21,0.07,0.28,0.08,0.07
Ola Aina,Torino,1996,35,43,0.1,0.1,0.21,0.08,0.21
Ludovic Ajorque,Mainz 05,1994,5,31,0.45,0.07,0.52,0.34,0.13
Jean-Daniel Akpa-Akpro,Empoli,1992,19,39,0.07,0.07,0.13,0.1,0.06
David Alaba,Real Madrid,1992,16,67,0.05,0.15,0.2,0.04,0.05
Jordi Alba,Barcelona,1989,42,141,0.13,0.19,0.32,0.05,0.4
Luis Alberto,Lazio,1992,73,248,0.22,0.26,0.48,0.16,0.26
Carlos Alcaraz,Southampton,2002,20,28,0.35,0.17,0.52,0.17,0.06
Omar Alderete,Getafe,1996,28,96,0.04,0.04,0.09,0.03,0.03
Carles Ale��,Getafe,1998,24,87,0.08,0.08,0.17,0.1,0.07
Trent Alexander-Arnold,Liverpool,1998,43,235,0.06,0.28,0.34,0.07,0.35
Mohamed Ali Cho,Real Sociedad,2004,30,8,0.15,0.31,0.46,0.28,0.25
Jim Allevinah,Clermont Foot,1995,82,59,0.04,0.04,0.08,0.1,0.08
Domingos Andr� Ribeiro Almeida,Valencia,2000,74,197,0.07,0.14,0.21,0.05,0.12
Miguel Almir�n,Newcastle United,1994,77,124,0.4,0.07,0.47,0.29,0.11
Agust�n �lvarez Mart�nez,Sassuolo,2001,2,6,0.24,0.24,0.49,0.36,0.1
Yeray �lvarez,Athletic Club,1995,32,152,0.04,0.04,0.08,0.03,0.04
Selim Amallah,Valladolid,1996,11,10,0.67,0.34,1.01,0.29,0.09
Bruno Amione,Sampdoria,2002,11,54,0.04,0.04,0.09,0.04,0.03
Nadiem Amiri,Leverkusen,1996,30,55,0.37,0.09,0.46,0.17,0.1
Felipe Anderson,Lazio,1993,83,114,0.27,0.06,0.33,0.18,0.15
Benjamin Andr�,Lille,1990,41,309,0.03,0.03,0.06,0.05,0.06
Komnen Andri?,Clermont Foot,1995,8,27,0.25,0.19,0.44,0.34,0.06
Robert Andrich,Leverkusen,1994,12,99,0.07,0.07,0.15,0.06,0.04
Jaidon Anthony,Bournemouth,1999,31,49,0.21,0.07,0.29,0.16,0.07
Waldemar Anton,Stuttgart,1996,56,135,0.03,0.06,0.09,0.05,0.04
Marcos Ant�nio,Lazio,2000,1,25,0.15,0.15,0.3,0.18,0.04
Michail Antonio,West Ham,1990,49,27,0.25,0.15,0.39,0.32,0.06
Antony,Manchester United,2000,95,74,0.2,0.1,0.3,0.33,0.14
Christopher Antwi-Adjei,Bochum,1994,67,36,0.14,0.27,0.41,0.1,0.17
Houssem Aouar,Lyon,1998,12,37,0.17,0.17,0.34,0.25,0.2
Adam Armstrong,Southampton,1997,39,16,0.13,0.07,0.2,0.14,0.09
Stuart Armstrong,Southampton,1992,61,75,0.13,0.06,0.19,0.15,0.14
Maximilian Arnold,Wolfsburg,1994,29,150,0.16,0.1,0.26,0.16,0.16
Arthur,Fiorentina,1998,11,21,0.5,0.06,0.57,0.49,0.05
Takuma Asano,Bochum,1994,32,34,0.16,0.16,0.32,0.29,0.11
Marco Asensio,Real Madrid,1996,56,70,0.56,0.37,0.94,0.39,0.3
Iago Aspas,Celta Vigo,1987,80,162,0.38,0.09,0.47,0.35,0.18
Tommaso Augello,Sampdoria,1994,84,119,0.06,0.15,0.21,0.03,0.11
Mathias Autret,Auxerre,1991,20,77,0.14,0.14,0.28,0.17,0.14
Ezequiel �vila,Osasuna,1994,23,39,0.42,0.11,0.53,0.35,0.09
Taiwo Awoniyi,Nott'ham Forest,1997,18,12,0.64,0.06,0.71,0.42,0.07
Jordan Ayew,Crystal Palace,1991,83,63,0.13,0.1,0.23,0.1,0.11
Luke Ayling,Leeds United,1991,28,77,0.09,0.04,0.13,0.14,0.09
Sardar Azmoun,Leverkusen,1995,11,32,0.39,0.1,0.49,0.34,0.24
Alex Baena,Villarreal,2001,50,124,0.28,0.09,0.37,0.18,0.24
Leon Bailey,Aston Villa,1997,85,28,0.18,0.18,0.37,0.24,0.22
Nedim Bajrami,Empoli,1999,22,29,0.1,0.1,0.19,0.12,0.11
Mitchel Bakker,Leverkusen,2000,28,57,0.16,0.11,0.27,0.09,0.11
Ridle Baku,Wolfsburg,1998,50,126,0.17,0.1,0.28,0.1,0.14
Alejandro Balde,Barcelona,2003,95,79,0.04,0.22,0.25,0.07,0.18
Folarin Balogun,Reims,2001,56,55,0.63,0.06,0.69,0.8,0.11
Jonathan Bamba,Lille,1996,111,146,0.19,0.23,0.42,0.27,0.21
Patrick Bamford,Leeds United,1993,17,23,0.24,0.12,0.36,0.51,0.06
Lameck Banda,Lecce,2001,86,28,0.11,0.06,0.17,0.17,0.07
L�o Baptist�o,Almer�a,1992,38,51,0.26,0.05,0.31,0.26,0.06
Bradley Barcola,Lyon,2002,51,39,0.31,0.5,0.81,0.22,0.25
Nicol� Barella,Inter,1997,76,214,0.21,0.21,0.41,0.11,0.19
Kike Barja,Osasuna,1997,61,35,0.07,0.41,0.48,0.08,0.26
Ross Barkley,Nice,1993,30,48,0.37,0.19,0.56,0.42,0.23
Harvey Barnes,Leicester City,1997,100,79,0.43,0.03,0.46,0.3,0.1
Leandro Barreiro Martins,Mainz 05,2000,17,54,0.17,0.13,0.29,0.16,0.09
Ander Barrenetxea,Real Sociedad,2001,36,27,0.31,0.1,0.41,0.31,0.12
Micka�l Barreto,Ajaccio,1991,26,87,0.07,0.07,0.14,0.06,0.13
Musa Barrow,Bologna,1998,68,58,0.14,0.37,0.5,0.14,0.22
Simone Bastoni,Spezia,1996,20,32,0.15,0.3,0.45,0.08,0.13
Christoph Baumgartner,Hoffenheim,1999,76,100,0.25,0.11,0.35,0.25,0.15
Cyrille Bayala,Ajaccio,1996,46,66,0.04,0.04,0.09,0.09,0.09
Rodrigo Bec�o,Udinese,1996,19,98,0.07,0.04,0.11,0.05,0.02
Sheraldo Becker,Union Berlin,1995,105,44,0.39,0.25,0.63,0.23,0.2
