"Squad","Age","totalxG","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Manchester City,27.2,78.7,987,2073,2.42,1.82,4.24,2.07,1.52
Paris S-G,26.9,78.2,810,2029,2.26,1.63,3.89,2.06,1.49
Real Madrid,27.4,75.5,1008,2017,1.92,1.47,3.39,1.99,1.49
Barcelona,25.9,75.5,962,2180,1.82,1.47,3.29,1.99,1.58
Bayern Munich,26.6,75,863,2041,2.65,1.97,4.62,2.2,1.67
Brighton,26.3,73.3,809,1849,1.79,1.21,3,1.93,1.37
Liverpool,27.4,72.6,719,1992,1.87,1.53,3.39,1.91,1.49
Newcastle United,27.3,72,694,1618,1.68,1.11,2.79,1.89,1.37
Arsenal,24.7,71.9,824,2049,2.21,1.68,3.89,1.89,1.41
Dortmund,25.8,71.1,783,1628,2.38,1.79,4.18,2.09,1.53
Lille,26,68.7,798,1982,1.71,1.05,2.76,1.81,1.22
Inter,29.7,68,668,1624,1.79,1.32,3.11,1.79,1.36
Manchester United,26.9,67.7,711,1595,1.47,1.11,2.58,1.78,1.37
Lens,26.4,66.9,738,1829,1.74,1.29,3.03,1.76,1.25
Marseille,27.3,65.3,759,1919,1.61,1,2.61,1.72,1.24
Napoli,27.3,64.7,907,1804,1.97,1.5,3.47,1.7,1.23
RB Leipzig,26.3,62.7,599,1450,1.88,1.15,3.03,1.84,1.27
Atletico Madrid,28.5,62.3,730,1571,1.79,1.34,3.13,1.64,1.28
Monaco,24.7,62.1,719,1820,1.82,1.24,3.05,1.63,1.11
Villarreal,28.4,61.7,846,1622,1.5,0.87,2.37,1.62,1.13
Reims,24.9,61.5,712,1717,1.18,0.82,2,1.62,1.14
Rennes,25.2,61.4,774,1922,1.74,1.24,2.97,1.62,1.2
Lyon,25.5,61.1,709,1883,1.66,1.18,2.84,1.61,1.19
Milan,26.8,58.8,795,1584,1.61,1.29,2.89,1.55,1.21
Atalanta,27.4,57.7,687,1637,1.68,1.11,2.79,1.52,1.12
Roma,28.3,57.4,684,1217,1.32,0.87,2.18,1.51,1.02
Nice,26.5,57.2,774,1534,1.24,0.84,2.08,1.51,1.04
Tottenham,27.6,57.1,692,1449,1.79,1.21,3,1.5,1.13
Brentford,26.2,56.8,392,1131,1.47,0.95,2.42,1.49,1.02
Juventus,28.5,55.3,673,1394,1.47,1.08,2.55,1.45,1.05
Fiorentina,27.4,55,789,1627,1.34,0.97,2.32,1.45,1.06
Athletic Club,27.4,54.2,864,1816,1.21,0.87,2.08,1.43,1.02
Real Sociedad,25.9,52.7,692,1483,1.24,0.95,2.18,1.39,1.04
Toulouse,25.1,52.5,648,1737,1.32,0.87,2.18,1.38,0.94
Montpellier,26,52.2,556,1250,1.68,1.08,2.76,1.37,0.9
M'Gladbach,26.8,52.1,518,1168,1.53,1.15,2.68,1.53,1.21
Eint Frankfurt,26.4,52.1,632,1372,1.65,0.97,2.62,1.53,1.06
Betis,28.6,51.8,620,1272,1.13,0.68,1.82,1.36,0.92
Sassuolo,27,51.6,761,1565,1.21,0.79,2,1.36,0.95
Leverkusen,24.7,51.4,678,1243,1.68,1.29,2.97,1.51,1.15
Wolfsburg,24.8,51.3,455,1306,1.62,1.29,2.91,1.51,1.15
Lazio,29.5,51.1,683,1381,1.55,0.97,2.53,1.35,0.9
Leicester City,26.1,50.6,580,1304,1.29,0.95,2.24,1.33,1.01
Girona,26,50.4,725,1378,1.45,1.08,2.53,1.33,0.98
Aston Villa,27,50.2,637,1242,1.29,0.92,2.21,1.32,1.02
Chelsea,26.3,49.5,829,1737,0.97,0.71,1.68,1.3,1.02
Valencia,24.2,49.3,786,1472,1.05,0.61,1.66,1.3,0.86
West Ham,28.2,49.2,614,1274,1.08,0.66,1.74,1.29,0.86
Strasbourg,27.3,48.5,610,1351,1.26,0.74,2,1.28,0.84
Espanyol,27.6,48.3,528,1146,1.34,0.82,2.16,1.27,0.92
Freiburg,27.4,48,427,1039,1.5,1,2.5,1.41,0.84
Hoffenheim,26.8,48,457,1175,1.35,0.88,2.24,1.41,0.95
Koln,26,47.9,522,1247,1.35,0.91,2.26,1.41,1.03
Stuttgart,24.7,47.6,609,1278,1.32,1,2.32,1.4,1.12
Clermont Foot,27.2,47.5,532,1304,1.16,0.68,1.84,1.25,0.73
Leeds United,25.3,47.4,555,1429,1.18,0.82,2,1.25,0.84
Mainz 05,27,47.1,364,1155,1.59,1.03,2.62,1.39,0.88
Udinese,27,46.9,646,1354,1.21,1.08,2.29,1.24,0.99
Sevilla,28.7,46.3,558,1513,1.24,0.82,2.05,1.22,0.84
Fulham,28.2,46.2,662,1326,1.37,0.87,2.24,1.22,0.75
Monza,27.4,45.9,708,1362,1.21,0.82,2.03,1.21,0.89
Almeria,26.4,45.5,569,1090,1.29,0.87,2.16,1.2,0.85
Everton,26.6,45.2,500,1052,0.84,0.63,1.47,1.19,0.85
Lorient,25.2,44.5,753,1329,1.29,0.84,2.13,1.17,0.77
Rayo Vallecano,27.9,43.9,703,1390,1.08,0.76,1.84,1.16,0.79
Bologna,27.4,43.8,564,1366,1.37,1.08,2.45,1.15,0.83
Brest,26.6,43.3,592,1311,1.13,0.74,1.87,1.14,0.78
Celta Vigo,26.7,42.8,704,1403,1.08,0.82,1.89,1.13,0.81
Nantes,26.7,42.8,705,1565,0.92,0.71,1.63,1.13,0.84
Auxerre,27.3,42.7,531,1284,0.84,0.45,1.29,1.12,0.72
Torino,26.1,41.8,684,1328,1.08,0.89,1.97,1.1,0.92
Cadiz,29.1,41.6,476,969,0.76,0.53,1.29,1.09,0.73
Spezia,26.6,41.5,553,1163,0.76,0.47,1.24,1.09,0.77
Werder Bremen,27.4,41.1,412,1140,1.47,1.09,2.56,1.21,0.85
Angers,25.7,40.9,632,1393,0.82,0.47,1.29,1.08,0.74
Bochum,29.4,40,350,1022,1.09,0.82,1.91,1.18,0.83
Schalke 04,27.5,39.6,415,934,0.94,0.71,1.65,1.16,0.84
Osasuna,27.5,39.4,545,1356,0.95,0.79,1.74,1.04,0.74
Hertha BSC,26,39.4,413,914,1.24,0.68,1.91,1.16,0.74
Crystal Palace,26.7,39.3,556,1243,1,0.76,1.76,1.03,0.76
Nott'ham Forest,26.5,39.3,435,859,0.95,0.58,1.53,1.03,0.69
Troyes,25.8,39.1,638,1235,1.13,0.68,1.82,1.03,0.73
Empoli,26.1,38.8,608,1114,0.92,0.53,1.45,1.02,0.71
Cremonese,26.9,38.7,521,1107,0.92,0.47,1.39,1.02,0.64
Bournemouth,26.3,38.6,504,1006,0.97,0.63,1.61,1.02,0.75
Valladolid,27.4,38.6,610,1244,0.84,0.63,1.47,1.02,0.75
Union Berlin,27.9,37.9,375,1012,1.44,1.12,2.56,1.12,0.76
Southampton,24.7,37.7,588,1125,0.95,0.66,1.61,0.99,0.74
Elche,28.3,37.5,561,1197,0.79,0.55,1.34,0.99,0.71
Wolves,26.7,36.8,610,1343,0.74,0.32,1.05,0.97,0.67
Salernitana,28,36.7,519,1089,1.21,0.89,2.11,0.96,0.71
Getafe,27.4,36.7,365,1003,0.89,0.55,1.45,0.96,0.59
Lecce,25.6,36.1,515,1232,0.82,0.55,1.37,0.95,0.66
Ajaccio,29.1,36.1,487,1169,0.58,0.32,0.89,0.95,0.6
Hellas Verona,27.4,35.8,503,1063,0.76,0.58,1.34,0.94,0.74
Mallorca,27.7,35.2,476,948,0.95,0.71,1.66,0.93,0.7
Augsburg,25.9,34.7,331,847,1.21,0.85,2.06,1.02,0.71
